t, v
-0.000000, 1.557617
-0.000010, 1.534521
-0.000020, 1.511426
-0.000029, 1.534521
-0.000039, 1.534521
-0.000049, 1.534521
-0.000059, 1.534521
-0.000068, 1.534521
-0.000078, 1.534521
-0.000088, 1.557617
-0.000098, 1.557617
-0.000108, 1.534521
-0.000117, 1.534521
-0.000127, 1.534521
-0.000137, 1.534521
-0.000147, 1.534521
-0.000156, 1.534521
-0.000166, 1.534521
-0.000176, 1.534521
-0.000186, 1.534521
-0.000196, 1.534521
-0.000205, 1.534521
-0.000215, 1.534521
-0.000225, 1.534521
-0.000235, 1.534521
-0.000244, 1.557617
-0.000254, 1.534521
-0.000264, 1.534521
-0.000274, 1.534521
-0.000283, 1.534521
-0.000293, 1.534521
-0.000303, 1.534521
-0.000313, 1.534521
-0.000323, 1.534521
-0.000332, 1.534521
-0.000342, 1.534521
-0.000352, 1.534521
-0.000362, 1.511426
-0.000371, 1.534521
-0.000381, 1.534521
-0.000391, 1.534521
-0.000401, 1.534521
-0.000411, 1.511426
-0.000420, 1.534521
-0.000430, 1.534521
-0.000440, 1.534521
-0.000450, 1.534521
-0.000459, 1.534521
-0.000469, 1.534521
-0.000479, 1.534521
-0.000489, 1.557617
-0.000499, 1.534521
-0.000508, 1.534521
-0.000518, 1.534521
-0.000528, 1.534521
-0.000538, 1.534521
-0.000547, 1.534521
-0.000557, 1.511426
-0.000567, 1.557617
-0.000577, 1.534521
-0.000587, 1.534521
-0.000596, 1.534521
-0.000606, 1.534521
-0.000616, 1.534521
-0.000626, 1.534521
-0.000635, 1.557617
-0.000645, 1.534521
-0.000655, 1.557617
-0.000665, 1.534521
-0.000674, 1.534521
-0.000684, 1.534521
-0.000694, 1.534521
-0.000704, 1.534521
-0.000714, 1.557617
-0.000723, 1.534521
-0.000733, 1.557617
-0.000743, 1.534521
-0.000753, 1.534521
-0.000762, 1.511426
-0.000772, 1.511426
-0.000782, 1.534521
-0.000792, 1.534521
-0.000802, 1.557617
-0.000811, 1.534521
-0.000821, 1.534521
-0.000831, 1.511426
-0.000841, 1.511426
-0.000850, 1.534521
-0.000860, 1.534521
-0.000870, 1.534521
-0.000880, 1.534521
-0.000890, 1.534521
-0.000899, 1.534521
-0.000909, 1.511426
-0.000919, 1.534521
-0.000929, 1.534521
-0.000938, 1.534521
-0.000948, 1.534521
-0.000958, 1.534521
-0.000968, 1.534521
-0.000978, 1.534521
-0.000987, 1.534521
-0.000997, 1.534521
-0.001007, 1.511426
-0.001017, 1.557617
-0.001026, 1.534521
-0.001036, 1.511426
-0.001046, 1.534521
-0.001056, 1.534521
-0.001065, 1.534521
-0.001075, 1.534521
-0.001085, 1.534521
-0.001095, 1.534521
-0.001105, 1.534521
-0.001114, 1.534521
-0.001124, 1.534521
-0.001134, 1.534521
-0.001144, 1.534521
-0.001153, 1.534521
-0.001163, 1.534521
-0.001173, 1.534521
-0.001183, 1.534521
-0.001193, 1.557617
-0.001202, 1.534521
-0.001212, 1.534521
-0.001222, 1.534521
-0.001232, 1.557617
-0.001241, 1.534521
-0.001251, 1.534521
-0.001261, 1.534521
-0.001271, 1.511426
-0.001281, 1.534521
