t, v
-0.008332, 2.088818
-0.008334, 2.111914
-0.008335, 2.111914
-0.008337, 2.065723
-0.008339, 2.088818
-0.008340, 2.088818
-0.008342, 2.065723
-0.008343, 2.065723
-0.008345, 2.042627
-0.008347, 2.065723
-0.008348, 2.065723
-0.008350, 2.042627
-0.008352, 2.042627
-0.008353, 2.042627
-0.008355, 2.042627
-0.008357, 2.042627
-0.008358, 2.042627
-0.008360, 2.019531
-0.008362, 2.019531
-0.008363, 2.019531
-0.008365, 2.019531
-0.008366, 2.019531
-0.008368, 2.019531
-0.008370, 2.019531
-0.008371, 2.042627
-0.008373, 1.996436
-0.008375, 1.996436
-0.008376, 1.996436
-0.008378, 1.996436
-0.008380, 2.019531
-0.008381, 1.950244
-0.008383, 1.950244
-0.008385, 1.973340
-0.008386, 1.973340
-0.008388, 1.996436
-0.008389, 1.927148
-0.008391, 1.927148
-0.008393, 1.950244
-0.008394, 1.950244
-0.008396, 1.950244
-0.008398, 1.927148
-0.008399, 1.927148
-0.008401, 1.904053
-0.008403, 1.904053
-0.008404, 1.904053
-0.008406, 1.880957
-0.008407, 1.880957
-0.008409, 1.880957
-0.008411, 1.857861
-0.008412, 1.857861
-0.008414, 1.857861
-0.008416, 1.857861
-0.008417, 1.857861
-0.008419, 1.834766
-0.008421, 1.834766
-0.008422, 1.811670
-0.008424, 1.834766
-0.008426, 1.834766
-0.008427, 1.834766
-0.008429, 1.834766
-0.008430, 1.788574
-0.008432, 1.788574
-0.008434, 1.788574
-0.008435, 1.811670
-0.008437, 1.811670
-0.008439, 1.742383
-0.008440, 1.742383
-0.008442, 1.742383
-0.008444, 1.811670
-0.008445, 1.696191
-0.008447, 1.696191
-0.008449, 1.696191
-0.008450, 1.696191
-0.008452, 1.742383
-0.008453, 1.673096
-0.008455, 1.673096
-0.008457, 1.673096
-0.008458, 1.673096
-0.008460, 1.696191
-0.008462, 1.626904
-0.008463, 1.626904
-0.008465, 1.603809
-0.008467, 1.603809
-0.008468, 1.603809
-0.008470, 1.580713
-0.008472, 1.580713
-0.008473, 1.557617
-0.008475, 1.534521
-0.008476, 1.534521
-0.008478, 1.511426
-0.008480, 1.511426
-0.008481, 1.534521
