t, v
-0.000000, -0.059082
-0.000010, -0.059082
-0.000020, -0.035986
-0.000029, -0.059082
-0.000039, -0.059082
-0.000049, -0.059082
-0.000059, -0.059082
-0.000068, -0.059082
-0.000078, -0.059082
-0.000088, -0.035986
-0.000098, -0.059082
-0.000108, -0.035986
-0.000117, -0.035986
-0.000127, -0.059082
-0.000137, -0.035986
-0.000147, -0.059082
-0.000156, -0.059082
-0.000166, -0.059082
-0.000176, -0.035986
-0.000186, -0.035986
-0.000196, -0.059082
-0.000205, -0.059082
-0.000215, -0.059082
-0.000225, -0.035986
-0.000235, -0.035986
-0.000244, -0.035986
-0.000254, -0.059082
-0.000264, -0.035986
-0.000274, -0.035986
-0.000283, -0.059082
-0.000293, -0.059082
-0.000303, -0.035986
-0.000313, -0.035986
-0.000323, -0.035986
-0.000332, -0.035986
-0.000342, -0.059082
-0.000352, -0.059082
-0.000362, -0.059082
-0.000371, -0.035986
-0.000381, -0.059082
-0.000391, -0.059082
-0.000401, -0.059082
-0.000411, -0.035986
-0.000420, -0.035986
-0.000430, -0.059082
-0.000440, -0.059082
-0.000450, -0.035986
-0.000459, -0.059082
-0.000469, -0.059082
-0.000479, -0.059082
-0.000489, -0.035986
-0.000499, -0.059082
-0.000508, -0.035986
-0.000518, -0.082178
-0.000528, -0.035986
-0.000538, -0.059082
-0.000547, -0.059082
-0.000557, -0.059082
-0.000567, -0.059082
-0.000577, -0.059082
-0.000587, -0.059082
-0.000596, -0.059082
-0.000606, -0.059082
-0.000616, -0.059082
-0.000626, -0.059082
-0.000635, -0.035986
-0.000645, -0.035986
-0.000655, -0.035986
-0.000665, -0.059082
-0.000674, -0.059082
-0.000684, -0.059082
-0.000694, -0.082178
-0.000704, -0.035986
-0.000714, -0.059082
-0.000723, -0.059082
-0.000733, -0.059082
-0.000743, -0.059082
-0.000753, -0.082178
-0.000762, -0.035986
-0.000772, -0.035986
-0.000782, -0.059082
-0.000792, -0.059082
-0.000802, -0.059082
-0.000811, -0.059082
-0.000821, -0.059082
-0.000831, -0.059082
-0.000841, -0.035986
-0.000850, -0.035986
-0.000860, -0.059082
-0.000870, -0.035986
-0.000880, -0.059082
-0.000890, -0.059082
-0.000899, -0.035986
-0.000909, -0.059082
-0.000919, -0.035986
-0.000929, -0.035986
-0.000938, -0.059082
-0.000948, -0.059082
-0.000958, -0.059082
-0.000968, -0.059082
-0.000978, -0.035986
-0.000987, -0.035986
-0.000997, -0.059082
-0.001007, -0.059082
-0.001017, -0.035986
-0.001026, -0.059082
-0.001036, -0.059082
-0.001046, -0.035986
-0.001056, -0.035986
-0.001065, -0.035986
-0.001075, -0.035986
-0.001085, -0.059082
-0.001095, -0.035986
-0.001105, -0.059082
-0.001114, -0.035986
-0.001124, -0.059082
-0.001134, -0.059082
-0.001144, -0.059082
-0.001153, -0.059082
-0.001163, -0.035986
-0.001173, -0.059082
-0.001183, -0.059082
-0.001193, -0.035986
-0.001202, -0.035986
-0.001212, -0.059082
-0.001222, -0.059082
-0.001232, -0.059082
-0.001241, -0.035986
-0.001251, -0.059082
-0.001261, -0.035986
-0.001271, -0.059082
-0.001281, -0.059082
-0.001290, -0.059082
-0.001300, -0.059082
-0.001310, -0.035986
-0.001320, -0.059082
-0.001329, -0.059082
-0.001339, -0.059082
-0.001349, -0.035986
-0.001359, -0.059082
-0.001369, -0.059082
-0.001378, -0.035986
-0.001388, -0.035986
-0.001398, -0.035986
-0.001408, -0.035986
-0.001417, -0.035986
-0.001427, -0.059082
-0.001437, -0.059082
-0.001447, -0.059082
-0.001457, -0.035986
-0.001466, -0.059082
-0.001476, -0.059082
-0.001486, -0.059082
-0.001496, -0.059082
-0.001505, -0.059082
-0.001515, -0.035986
-0.001525, -0.035986
-0.001535, -0.059082
-0.001544, -0.059082
-0.001554, -0.059082
-0.001564, -0.035986
-0.001574, -0.035986
-0.001584, -0.059082
-0.001593, -0.035986
-0.001603, -0.035986
-0.001613, -0.035986
-0.001623, -0.059082
-0.001632, -0.059082
-0.001642, -0.059082
-0.001652, -0.059082
-0.001662, -0.059082
-0.001672, -0.059082
-0.001681, -0.035986
-0.001691, -0.035986
-0.001701, -0.059082
-0.001711, -0.035986
-0.001720, -0.059082
-0.001730, -0.059082
-0.001740, -0.035986
-0.001750, -0.059082
-0.001760, -0.059082
-0.001769, -0.035986
-0.001779, -0.059082
-0.001789, -0.059082
-0.001799, -0.059082
-0.001808, -0.059082
-0.001818, -0.059082
-0.001828, -0.059082
-0.001838, -0.059082
-0.001848, -0.059082
-0.001857, -0.059082
-0.001867, -0.059082
-0.001877, -0.059082
-0.001887, -0.059082
-0.001896, -0.059082
-0.001906, -0.059082
-0.001916, -0.059082
-0.001926, -0.035986
-0.001935, -0.035986
-0.001945, -0.059082
-0.001955, -0.035986
-0.001965, -0.059082
-0.001975, -0.035986
-0.001984, -0.059082
-0.001994, -0.059082
-0.002004, -0.059082
-0.002014, -0.059082
-0.002023, -0.059082
-0.002033, -0.035986
